#,Competitor,Country,TOT. PTS,Giant's Medley,Pts,Max Deadlift,Pts,Keg Toss,Pts,Hercules Hold,Pts,Log Ladder,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,47,23.79 s,9,537.5 kg,10,8 in 26.96 s,6,41.63 s,7,4 in 32.68 s,8,4 in 19.47 s,7
2,T. Stoltman,GBR,43.5,26.61 s,6,478.5 kg,5.5,8 in 20.05 s,10,21.23 s,2,5 in 49.45 s,10,5 in 19.89 s,10
3,J. Caron,CAN,42,26.92 s,5,509 kg,8,8 in 20.31 s,9,52.67 s,10,3 in 47.05 s,2,5 in 34.03 s,8
4,J. Pritchett,USA,40,24.71 s,8,509 kg,8,7 in 39.94 s,3,42.99 s,8,5 in 51.18 s,9,4 in 24.53 s,4
5,B. Shaw,USA,35.5,27.03 s,4,478.5 kg,5.5,8 in 21.75 s,8,34.79 s,5,3 in 27.91 s,4,5 in 28.55 s,9
6,A. Bishop,GBR,34,22.55 s,10,509 kg,8,8 in 39.90 s,4,28.40 s,4,3 in 37.02 s,3,4 in 24.30 s,5
7,K. Faires,USA,31,26.22 s,7,440 kg,4,6 in 19.04 s,2,49.22 s,9,4 in 46.67 s,6,4 in 24.73 s,3
8,A. Å maukstelis,LAT,28.5,34.97 s,3,400 kg,2.5,8 in 24.88 s,7,28.17 s,3,4 in 41.24 s,7,4 in 20.63 s,6
9,L. Richardson,GBR,22.5,36.70 s,2,400 kg,2.5,8 in 27.82 s,5,35.12 s,6,4 in 62.12 s,5,3 in 18.02 s,2
10,G. Hicks,GBR,1,16.19 m,1,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
