#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Truck Pull,Pts,Log Lift,Pts,Medley,Pts,Atlas Stones,Pts
1,M. Kieliszkowski,POL,55.5,420 kg,9,55.90 s,14,4 reps,12.5,17.76 s,12,8 in 150.12 s,8
2,L. Stoltman,GBR,50.5,400 kg,4,28.9 m,10,4 reps,12.5,17.72 s,13,10 in 130.45 s,11
3,T. Stoltman,GBR,47.5,430 kg,11,27 m,8,2 reps,6.5,19.34 s,8,10 in 40.70 s,14
4,B. Shaw,USA,44.5,400 kg,4,71.56 s,12,3 reps,9.5,20.84 s,6,10 in 62.19 s,13
5,R. Heinla,EST,42.5,450 kg,14,27.2 m,9,2 reps,6.5,28 m,3,9 in 172.76 s,10
6,O. Novikov,UKR,42.5,400 kg,4,25.4 m,6,3 reps,9.5,16.40 s,14,8 in 96.02 s,9
7,J. Caron,CAN,39,420 kg,9,26.5 m,7,0 reps,0,18.50 s,11,10 in 99.66 s,12
8,M. Shivlyakov,RUS,36,440 kg,12.5,21.2 m,2,3 reps,9.5,20.87 s,5,7 in 61.91 s,7
9,M. Belšak,SLO,31.5,400 kg,4,22.7 m,4,3 reps,9.5,19.30 s,9,7 in 113.35 s,5
10,R. Farajnejad,IRI,30,420 kg,9,23 m,5,0 reps,0,18.95 s,10,7 in 93.59 s,6
11,C. Sanou,BUR,28,400 kg,4,22.6 m,3,5 reps,14,19.37 s,7,0 in 180.00 s,0
12,K. Radzikowski,POL,24,400 kg,4,66.18 s,13,1 rep,5,20.5 m,2,Withdrew,0
13,J. Pritchett,USA,21.5,440 kg,12.5,19.2 m,1,0 reps,0,26.21 s,4,6 in 63.85 s,4
14,T. Hollands,GBR,15,400 kg,4,74.16 s,11,Withdrew,0,Withdrew,0,Withdrew,0
