#,Competitor,Country,TOT. PTS,Axle Death-Lift,Pts,Flag Hoist,Pts,Dumbbell Press,Pts,Loading Race,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,70,5 in 27.54 s,13,4 reps,13,10 reps,15,3 in ~39.8 s,15,10 in ~72.0 s,14
2,J. Caron,CAN,58,5 in 31.10 s,11,4 reps,12,7 reps,13,3 in ~54.0 s,9,10 in ~85.5 s,13
3,A. Šmaukstelis,LAT,55,4 reps,6,4 in 52.72 s,11,8 reps,14,3 in ~46.1 s,12,9 in 49.68 s,12
4,L. Stoltman,GBR,47,3 in 16.81 s,2,4 in 41.28 s,15,5 reps,9,3 in 48.24 s,11,9 in 101.00 s,10
5,M. Ezatpour,IRI,43,4 in 79.00 s,4,3 in 31.58 s,9,5 reps,9,3 in 43.30 s,13,8 in ~52.3 s,8
5,R. Farajnejad,IRI,43,5 in 60.00 s,9,4 in 49.45 s,14,5 reps,9,3 in ~61.3 s,8,8 in ~100.5 s,3
5,T. Stoltman,GBR,43,4 in 20.09 s,8,3 in 41.60 s,6,0 reps,0,3 in 41.00 s,14,10 in 67.00 s,15
8,B. Thompson,USA,41.5,5 in 27.10 s,15,3 reps,10,6 reps,11.5,2 in ~39.0 s,1,8 in ~95.0 s,4
9,E. Ingólfsson Melsted,ISL,33.5,3 in 17.00 s,1,3 in 41.00 s,7,4 reps,6.5,3 in ~50.3 s,10,9 in 101.17 s,9
10,A. Bishop,GBR,33,5 in 36.99 s,10,3 reps,4,3 reps,4,2 in ~32.1 s,4,9 in ~78.9 s,11
11,R. Heinla,EST,32,5 in 27.33 s,14,1 rep,1,3 reps,4,2 in ~27.0 s,6,8 in ~52.6 s,7
12,E. Toots,EST,30.5,3 in 13.28 s,3,3 in 38.70 s,8,4 reps,6.5,3 in ~73.0 s,7,8 in ~72.8 s,6
13,R. Kearney,USA,26.5,4 in 22.54 s,7,3 in 55.78 s,3,6 reps,11.5,2 in ~35.0 s,3,7 in ~52.6 s,2
14,K. Janashia,GEO,24,5 in 30.14 s,12,3 reps,2,0 reps,0,2 in 27.78 s,5,8 in ~75.2 s,5
15,M. Shivlyakov,RUS,17,4 in 43.00 s,5,3 in 50.15 s,5,3 reps,4,2 in 38.44 s,2,7 in ~90.6 s,1
