#,Competitor,Country,TOT. PTS,Timber Carry,Pts,Weight Throw,Pts,Apollon's Wheels,Pts,Super Yoke,Pts,Max Deadlift,Pts,Dumbbell Press,Pts
1,Ž. Savickas,LTU,53.5,6.91 m,7,6.25 m,9.5,0-8-8,10,7.50 s,10,428 kg,8,6 reps,9
2,V. Virastyuk,UKR,45,5.82 m,5,6.25 m,9.5,5-0-5,8.5,8.07 s,9,401 kg,6,4 reps,7
3,M. Koklyaev,RUS,38.5,9.78 m,8,5.18 m,2,5-0-5,8.5,19.32 s,4,421 kg,7,6 reps,9
4,P. Pfister,USA,37.5,6.63 m,6,5.94 m,7.5,0-5-4,6,18.30 s,5,393 kg,4,6 reps,9
5,B. Magnússon,ISL,35.5,11.50 s,10,5.94 m,5,0-3-2,3,9.53 m,3,433 kg,9,1 rep,5.5
6,M. Pudzianowski,POL,35,22.90 s,9,5.94 m,7.5,0-5-3,5,11.40 s,8,391 kg,3,0 reps,2.5
7,B. Siders,USA,32.5,1.7 m,1,5.33 m,3,0-5-5,7,18.19 s,6,448 kg,10,1 rep,5.5
8,R. Bergmanis,LAT,23.5,3.45 m,4,5.64 m,4,3-0-2,4,15.22 s,7,389 kg,2,0 reps,2.5
9,D. Filiou,CAN,15.5,2.84 m,3,5.94 m,6,0-0-0,1,8.25 m,2,355 kg,1,0 reps,2.5
10,G. Ross,GBR,13.5,2.06 m,2,-,1,0-2-1,2,-,1,398 kg,5,0 reps,2.5
