#,Competitor,Country,TOT. PTS,Timber Carry,Pts,Manhood Stones,Pts,Apollon's Wheels,Pts,Super Yoke,Pts,Max Deadlift,Pts,Dumbbell Press,Pts
1,Ž. Savickas,LTU,52,7.67 m,5,"1 rep, 237 kg",9,0-8-8,10,10.10 s,10,461 kg,10,5 reps,8
2,V. Virastyuk,UKR,48,7.75 s,9,"2 reps, 220 kg",7,6-0-5,8,10.56 s,9,389 kg,5,6 reps,10
3,A. Murumets,EST,38.5,6.87 s,10,"1 rep, 220 kg",4,5-0-5,7,14.02 s,6,396 kg,6,4 reps,5.5
4,P. Pfister,USA,36,24.82 s,7,"1 rep, 220 kg",3,0-5-4,6,11.79 s,8,384 kg,4,5 reps,8
5,M. Koklyaev,RUS,33,4.06 m,2,"1 rep, 220 kg",6,3-0-3,5,20.59 s,5,431 kg,7,5 reps,8
5,O. Pekanov,UKR,33,4.9 m,3,"3 reps, 220 kg",8,0-3-2,3.5,24.06 s,4,456 kg,9,4 reps,5.5
7,B. Siders,USA,28.5,0.99 m,1,"0 reps, 220 kg",1.5,0-8-7,9,12.00 s,7,436 kg,8,1 rep,2
8,S. MacDonald,USA,23,5.79 m,4,"1 rep, 237 kg",10,0-3-2,3.5,2.67 m,2,381 kg,2.5,0 reps,1
9,K. Gillingham,USA,19,8.46 m,6,"1 rep, 220 kg",5,0-3-0,1,25.17 s,3,Did not attempt,0,3 reps,4
10,T. Ortmayer,USA,17,19.94 s,8,"0 reps, 220 kg",1.5,0-2-1,2,Did not attempt,0,381 kg,2.5,2 reps,3
