#,Competitor,Country,TOT. PTS,Bale Tote,Pts,Timber Carry,Pts,Max Deadlift,Pts,Bag Over Bar,Pts,Austrian Oak,Pts
1,B. Shaw,USA,47.5,14.87 s (710 kg),10,22.48 s,10,449 kg,10,39 kg,9,"2 reps, 195 kg",8.5
2,H. Björnsson,ISL,41.5,28.65 s (710 kg),6.5,10.57 m,7,438 kg,8,41 kg,10,"3 reps, 195 kg",10
3,J. Pritchett,USA,39.5,22.56 s (710 kg),8,11.13 m,8,447 kg,9,27 kg,6,"2 reps, 195 kg",8.5
4,M. Kieliszkowski,POL,31,21.47 s (710 kg),9,22.82 s,9,367 kg,2,32 kg,7,"1 rep, 175 kg",4
5,M. Shivlyakov,RUS,29,28.65 s (710 kg),6.5,5.13 m,3,406 kg,5,36 kg,8,"1 rep, 195 kg",6.5
6,V. Lalas,LTU,25,2.11 m (710 kg),3,10.24 m,6,420 kg,7,23 kg,4,"2 reps, 175 kg",5
7,D. Savatinov,BUL,22.5,3.33 m (710 kg),4,5.82 m,4,400 kg,4,23 kg,4,"1 rep, 195 kg",6.5
8,M. Licis,USA,20.5,3.78 m (710 kg),5,7.42 m,5,410 kg,6,-,2,No lift,2.5
9,Z. Hadge,USA,12.5,0.36 m (590 kg),1,1.55 m,2,370 kg,3,23 kg,4,No lift,2.5
10,K. Radzikowski,POL,3,18.51 s (590 kg),2,-,1,Withdrew,0,Withdrew,0,Withdrew,0
