#,Competitor,Country,TOT. PTS,Dumbbell Press,Pts,Deadlift,Pts,Super Yoke,Pts,Arm Over Arm Pull,Pts,Stone Over Bar,Pts
1,B. Shaw,USA,43,9 reps,6,8 reps,10,10.27 s,8,20.64 s,9,8 in 55.32 s,10
2,M. Kieliszkowski,POL,35,10 reps,9,0 reps,0,9.68 s,9,18.96 s,10,6 in 46.56 s,7
3,K. Radzikowski,POL,34,10 reps,9,3 reps,6,9.50 s,10,25.21 s,5,2 in 25.97 s,4
4,M. Belšak,SLO,34,10 reps,9,2 reps,5,16.15 s,3,21.61 s,8,8 in 58.25 s,9
5,M. Shivlyakov,RUS,34,9 reps,6,6 reps,8,12.45 s,5,22.82 s,7,8 in 59.25 s,8
6,R. Heinla,EST,28,9 reps,6,4 reps,7,11.23 s,6,24.32 s,6,1 in 10.77 s,3
7,J. Pritchett,USA,23,4 reps,4,7 reps,9,10.75 s,7,27.50 s,3,0 in 60.00 s,0
8,J. Fisher,USA,14.5,2 reps,2.5,0 reps,0,25.29 s,2,26.99 s,4,5 in 51.52 s,6
9,S. Fossdal,ISL,13.5,2 reps,2.5,0 reps,0,15.41 s,4,30.91 s,2,3 in 40.01 s,5
10,T. Hollands,GBR,0,0 reps,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
