#,Competitor,Country,TOT. PTS,Deadlift,Pts,Dumbbell Press,Pts,Keg Toss,Pts,Squat Lift,Pts,Atlas Stones,Pts,Truck Pull,Pts,Viking Press,Pts,Farmer's Walk,Pts,Power Stairs,Pts,Medley,Pts
1,H. Björnsson,ISL,107,8 reps,7.5,9 reps,11,8 in 47.37 s,12,6 reps,10,5 in 32.93 s,12,,12,9 reps,7.5,,12,,12,,11
2,J. Caron,CAN,98,12 reps,12,5 reps,5.5,6 in 32.31 s,10,5 reps,8.5,5 in 38.22 s,11,,9.5,11 reps,11.5,31.43 s,10,,11,,9
3,V. Lalas,LTU,96,11 reps,10.5,9 reps,11,6 in 49.61 s,9,10 reps,12,4 in 25.45 s,10,,7,9 reps,7.5,31.63 s,9,,10,,10
4,M. Belšak,SLO,83.5,5 reps,4.5,9 reps,11,4 in 22.24 s,6,5 reps,8.5,4 in 40.44 s,6,,11,11 reps,11.5,52.37 s,7,,6,,12
5,M. Boudreault,CAN,69,0 reps,0,7 reps,8,7 in 49.39 s,11,1 rep,5,3 in 51.88 s,2,,9.5,10 reps,9.5,,11,,9,,4
6,J. Paquet,CAN,67,8 reps,7.5,4 reps,3.5,4 in 24.33 s,5,4 reps,7,4 in 35.20 s,7,,8,6 reps,5,,8,,8,,8
7,R. Kearney,USA,54.5,5 reps,4.5,7 reps,8,0 in 60.00 s,0,3 reps,6,4 in 57.83 s,5,,3.5,10 reps,9.5,,6,,5,,7
8,K. Hjelholt,CAN,49.5,8 reps,7.5,1 rep,1,5 in 41.13 s,7,0 reps,0,4 in 29.18 s,9,,5,2 reps,2,,5,,7,,6
9,R. Heinla,EST,46,11 reps,10.5,3 reps,2,5 in 33.90 s,8,8 reps,11,4 in 30.00 s,8,,3.5,3 reps,3,(Withdrew),0,(Withdrew),0,(Withdrew),0
10,J. Fincher,USA,33.5,2 reps,3,4 reps,3.5,4 in 57.08 s,4,0 reps,0,3 in 28.04 s,4,,2,6 reps,5,,3,,4,,5
11,K. Rayner,CAN,32.5,0 reps,0,5 reps,5.5,3 in 21.64 s,3,0 reps,0,3 in 36.35 s,3,,6,6 reps,5,,4,,3,,3
12,K. Radzikowski,POL,15.5,8 reps,7.5,7 reps,8,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
