#,Competitor,Country,TOT. PTS,Log Lift,Pts,Super Yoke,Pts,Frame Carry,Pts,Deadlift,Pts,Arm Over Arm Pull,Pts
1,M. Licis,USA,59.5,3 reps,11.5,23.03 s,6,16.6 m,14,8 reps,14,33.66 s,14
2,M. Belšak,SLO,55,3 reps,11.5,13.34 s,14,7.75 m,12,5 reps,10.5,12.15 m,7
3,D. Savatinov,BUL,50.5,3 reps,11.5,17.12 s,10,5.85 m,11,4 reps,8,46.70 s,10
4,K. Radzikowski,POL,48,4 reps,14,18.00 s,9,0.3 m,6,4 reps,8,41.97 s,11
5,J. Caron,CAN,45.5,1 rep,6,23.06 s,5,5.7 m,10,7 reps,12.5,39.12 s,12
6,J. Pritchett,USA,41.5,0 reps,0,16.09 s,11,9.73 m,13,7 reps,12.5,10.25 m,5
7,J. Paquet,CAN,39.5,2 reps,8,28.45 s,4,3.5 m,9,5 reps,10.5,54.58 s,8
8,R. Cyrwus,POL,35.5,2 reps,8,13.66 s,13,-,0,3 reps,5.5,51.09 s,9
9,A. Clayton,USA,25,0 reps,0,15.62 s,12,-,0,0 reps,0,39.00 s,13
10,J. Kramer,NED,24.5,0 reps,0,19.09 s,8,3.45 m,8,3 reps,5.5,6.25 m,3
11,R. Heinla,EST,24,3 reps,11.5,29.40 s,3,-,0,1 rep,3.5,11.2 m,6
12,S. Fossdal,ISL,22.5,2 reps,8,20.96 s,7,-,0,1 rep,3.5,6.85 m,4
13,K. Hjelholt,CAN,18,0 reps,0,36.71 s,1,1.6 m,7,4 reps,8,5.95 m,2
14,M. Ostaszewski,POL,2,0 reps,0,35.50 s,2,-,0,Withdrew,0,Withdrew,0
