#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Farmer's Walk,Pts,Truck Pull,Pts,Super Yoke,Pts,Stone Over Bar,Pts,Log Lift,Pts
1,O. Novikov,UKR,64,420 kg,11,9.75 s,11,28.90 s,5,21.97 s,12,5 reps,13,3 reps,12
2,M. Kieliszkowski,POL,62.5,380 kg,4.5,8.37 s,12,23.50 s,12,21.72 s,13,1 rep,8,4 reps,13
3,J. Pritchett,USA,60.5,430 kg,12.5,11.24 s,8,26.62 s,10,25.19 s,11,1 rep,8,2 reps,11
4,M. Shivlyakov,RUS,49.5,400 kg,8,15.94 s,6,26.16 s,11,13.15 m,5,2 reps,10,1 rep,9.5
5,E. Singleton,USA,49,380 kg,4.5,8.09 s,13,22.87 s,13,37.82 s,9,0 reps,0,1 rep,9.5
6,M. Ezatpour,IRI,40,400 kg,8,10.54 s,9,35.41 s,2,36.00 s,10,3 reps,11,0 reps,0
7,J. Kramer,NED,39,400 kg,8,25.72 s,4,27.00 s,8,18.2 m,7,4 reps,12,Eliminated,0
8,M. Belšak,SLO,38,410 kg,10,21.15 s,5,27.10 s,7,39.06 s,8,1 rep,8,Eliminated,0
9,R. Heinla,EST,25.5,430 kg,12.5,0.5 m,1,28.31 s,6,14.2 m,6,0 reps,0,Eliminated,0
10,K. Faires,USA,20.5,380 kg,4.5,10.31 s,10,30.25 s,4,4.3 m,2,0 reps,0,Eliminated,0
11,A. Fuhrman,USA,16.5,380 kg,4.5,14.28 s,7,39.09 s,1,11.8 m,4,0 reps,0,Eliminated,0
12,L. Reynolds,AUS,15,No lift,0,12 m,3,26.91 s,9,10.9 m,3,0 reps,0,Eliminated,0
13,P. O'Dwyer,IRL,8,360 kg,2,11.06 m,2,31.44 s,3,0.5 m,1,0 reps,0,Eliminated,0
