#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Viking Press,Pts,Truck Pull,Pts,Atlas Stones,Pts,Deadlift,Pts,Keg Toss,Pts,Farmer's Walk,Pts,Medley,Pts
1,J. Caron,CAN,68.5,,9,12 reps,9.5,18.97 m,9,5 stones,11,11 reps,12,6 in 28.05 s,9,33.27 s,9,(Did not attempt),0
2,M. Boudreault,CAN,64,,1,13 reps,11,21.67 m,12,4 stones,8,0 reps,0,7 in 28.27 s,12,,12,,8
3,E. Singleton,USA,61,,11,11 reps,7.5,18.9 m,8,4 stones,7,1 rep,3.5,4 in 51.56 s,2,32.86 s,10,,12
4,A. Šmaukstelis,LAT,60.5,,4,10 reps,5,18.47 m,7,4 stones,9,4 reps,5.5,6 in ?,8,31.06 s,11,,11
5,M. Belšak,SLO,59,,7,14 reps,12,20.09 m,10,4 stones,6,5 reps,7,4 in 44.80 s,3,71.60 s,4,,10
6,T. Mitchell,USA,59,,8,11 reps,7.5,14.88 m,3,5 stones,10,7 reps,8.5,6 in ?,11,,2,,9
7,J. Paquet,CAN,56,,10,10 reps,5,17.86 m,6,4 stones,5,10 reps,11,6 in ?,10,,3,,6
8,B. Thompson,USA,53,,12,12 reps,9.5,13.46 m,1,2 stones,2,7 reps,8.5,4 in ?,6,40.42 s,7,,7
9,K. Hjelholt,CAN,48,,2,2 reps,1,17.02 m,5,5 stones,12,9 reps,10,5 in 12.02 s,7,,6,,5
10,K. Faires,USA,46.5,,6,9 reps,3,20.57 m,11,4 stones,4,4 reps,5.5,4 in 24.82 s,5,36.03 s,8,,4
11,T. Côté,CAN,26.5,,5,10 reps,5,14.81 m,2,3 stones,3,1 rep,3.5,3 in 42.15 s,1,,5,,2
12,R. Gordzielik,GER,18,,3,7 reps,2,15.7 m,4,2 stones,1,0 reps,0,4 in 36.20 s,4,,1,,3
