#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Hercules Hold,Pts,Front Hold,Pts,Loading Race,Pts,Deadlift,Pts,Rock Press,Pts,Nicol Stones,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,L. Richardson,GBR,69,170 kg,5.5,74.48 s,10,48.41 s,12,4 in 38.35 s,10,5 reps,8,3 reps,2.5,9.71 m,5,8 in 47.62 s,7,5 in 19.44 s,9
2,A. Bishop,GBR,64,170 kg,5.5,50.55 s,6,40.87 s,8,4 in 36.90 s,12,5 reps,8,4 reps,4.5,17.32 m,9,8 in 36.04 s,9,5 in 25.08 s,2
3,E. Toots,EST,57,170 kg,5.5,38.91 s,3,40.53 s,7,4 in 38.00 s,11,1 rep,3,7 reps,8.5,9.85 m,6,8 in 41.29 s,8,5 in 23.69 s,5
4,G. Hicks,GBR,54.5,220 kg,12,35.60 s,1,48.12 s,11,4 in 53.51 s,4,5 reps,8,3 reps,2.5,7.82 m,3,6 in 25.21 s,5,5 in 20.08 s,8
5,A. Page,GBR,54,180 kg,9.5,50.74 s,7,38.63 s,5,4 in 46.72 s,6,2 reps,5,7 reps,8.5,6.76 m,2,6 in 40.44 s,4,5 in 20.73 s,7
6,M. Felix,GBR,49,(No lift),0,92.37 s,12,43.53 s,9,4 in 46.14 s,7,3 reps,6,0 reps,0,17.1 m,8,2 in 18.49 s,1,5 in 23.28 s,6
6,P. O'Dwyer,IRL,49,180 kg,9.5,40.11 s,4,35.63 s,4,4 in 40.76 s,8,1 rep,3,6 reps,6.5,10.93 m,7,6 in 59.10 s,3,5 in 23.87 s,4
8,G. Bilton,GBR,46,170 kg,5.5,59.53 s,9,39.72 s,6,4 in 49.27 s,5,1 rep,3,4 reps,4.5,7.88 m,4,8 in 55.80 s,6,5 in 24.89 s,3
9,J. Osborn,HUN,38,180 kg,9.5,40.27 s,5,46.61 s,10,4 in 70.56 s,3,0 reps,0,6 reps,6.5,2.33 m,1,2 in 14.00 s,2,5 in 55.41 s,1
10,P. Benton,GBR,23,150 kg,3,53.71 s,8,34.63 s,3,4 in 39.81 s,9,(Eliminated),0,(Eliminated),0,(Eliminated),0,(Eliminated),0,(Eliminated),0
11,T. Hollands,GBR,15,(No lift),0,79.88 s,11,34.05 s,2,2 in 21.28 s,2,(Eliminated),0,(Eliminated),0,(Eliminated),0,(Eliminated),0,(Eliminated),0
12,A. Lungu,ROU,13.5,180 kg,9.5,37.61 s,2,27.07 s,1,2 in 50.43 s,1,(Eliminated),0,(Eliminated),0,(Eliminated),0,(Eliminated),0,(Eliminated),0
