#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Shield Carry,Pts,Deadlift,Pts,Car Walk,Pts,Atlas Stones,Pts
1,L. Stoltman,GBR,40.5,195 kg,9.5,42.2 m,9,3 reps,4,13.59 s,9,5 in 20.58 s,9
2,O. Novikov,UKR,39,180 kg,8,27.65 m,4,6 reps,7,11.19 s,10,5 in 18.74 s,10
3,G. Hicks,GBR,30.5,195 kg,9.5,27.4 m,3,8 reps,9,25.76 s,3,5 in 22.42 s,6
4,R. Heinla,EST,30,(No lift),0,37.05 m,7,9 reps,10,22.84 s,5,5 in 21.20 s,8
5,M. Lalas,LTU,28,(No lift),0,54.2 m,10,6 reps,7,16.79 s,7,5 in 24.76 s,4
5,P. O'Dwyer,IRL,28,(No lift),0,34.65 m,6,6 reps,7,16.07 s,8,5 in 22.23 s,7
7,E. Toots,EST,20,(No lift),0,37.7 m,8,2 reps,3,24.91 s,4,5 in 23.50 s,5
8,G. Bilton,GBR,12,(No lift),0,32.1 m,5,5 reps,5,7.73 m,2,(Withdrew),0
9,J. Hansson,SWE,11,(No lift),0,22.3 m,2,0 reps,0,20.60 s,6,5 in 48.01 s,3
10,A. Bishop,GBR,1,(No lift),0,7.45 m,1,(Withdrew),0,(Withdrew),0,(Withdrew),0
