#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Max Deadlift,Pts,Frame Carry,Pts,Medley,Pts,Stone Over Bar,Pts
1,Å½. Savickas,LTU,56,227 kg,12,410 kg,12,28.44 s,11,23.55 s,9,10 reps,12
2,M. Baron,POL,52.5,190 kg,10.5,390 kg,9,24.99 s,12,22.61 s,12,8 reps,9
3,R. Kobylarz,POL,48,180 kg,8.5,390 kg,9,43.62 s,9,23.17 s,11,9 reps,10.5
4,G. SzymaÅ„ski,POL,44,190 kg,10.5,390 kg,9,37.82 s,10,24.08 s,8,6 reps,6.5
5,M. Lalas,LTU,42.5,160 kg,6,390 kg,9,26.1 m,7,23.22 s,10,9 reps,10.5
6,S. Cummine,CAN,33,180 kg,8.5,370 kg,6,22.3 m,6,31.59 s,6,6 reps,6.5
7,K. Radzikowski,POL,32,(No lift),0,390 kg,9,29.9 m,8,30.08 s,7,7 reps,8
8,B. Solvang,NOR,16,170 kg,7,(No lift),0,1.6 m,4,60.00 s,3,1 rep,2
9,L. Stoltman,GBR,14,(No lift),0,(No lift),0,9.4 m,5,42.33 s,4,5 reps,5
10,R. Frampton,GBR,8.5,(No lift),0,(No lift),0,,0,40.03 s,5,4 reps,3.5
11,P. O'Dwyer,IRL,8.5,(No lift),0,(No lift),0,0.6 m,3,10.2 m,2,4 reps,3.5
12,M. TÃ³th,SVK,1,(No lift),0,(No lift),0,,0,5.9 m,1,0 reps,0
