#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Axle Press,Pts,Keg Toss,Pts,Deadlift,Pts,Loading Race,Pts,Atlas Stones,Pts
1,B. Shaw,USA,67,27.15 s,10,5 reps,12,7 in 15.69 s,12,15 reps,12,4 in 37.84 s,10,5 in 28.11 s,11
2,J. Ã…rsjÃ¶,SWE,64,21.57 s,12,4 reps,11,7 in 16.70 s,11,12 reps,10,4 in 38.60 s,8,5 in 24.06 s,12
3,M. Forsmark,SWE,48.5,44.54 s,8,3 reps,9.5,4 in 35.51 s,3,11 reps,9,4 in 37.88 s,9,5 in 30.38 s,10
4,A. Bishop,GBR,46.5,29.41 s,9,2 reps,7.5,6 in 54.72 s,7,10 reps,8,4 in 40.16 s,6,5 in 40.50 s,9
5,B. Ruckstuhl,CAN,42,54.97 s,6,3 reps,9.5,7 in 37.11 s,10,8 reps,5.5,4 in 43.03 s,4,4 in 26.43 s,7
6,J. Kvick,SWE,34.5,24.67 m,2,2 reps,7.5,4 in 23.43 s,4,5 reps,2,4 in 37.56 s,11,5 in 59.37 s,8
7,M. Leicht,DEN,31.5,33.87 m,4,0 reps,0,6 in 27.24 s,9,8 reps,5.5,4 in 39.31 s,7,4 in 26.89 s,6
8,D. DeVaughan,USA,31,23.45 s,11,0 reps,0,4 in 12.55 s,5,9 reps,7,4 in 44.59 s,3,4 in 28.76 s,5
9,J. KirselÃ¤,FIN,28,38.9 m,5,0 reps,0,6 in 44.23 s,8,14 reps,11,4 in 41.72 s,2,3 in 20.16 s,2
10,A. Niemi-Nikkola,FIN,27.5,33.68 m,3,0 reps,0,5 in 39.88 s,6,7 reps,3.5,4 in 35.28 s,12,4 in 33.66 s,3
11,B. Solvang,NOR,19,15.25 m,1,1 rep,6,3 in 57.06 s,2,3 reps,1,4 in 42.53 s,5,4 in 31.93 s,4
12,A. Curletto,ITA,13.5,45.66 s,7,0 reps,0,1 in 25.99 s,1,7 reps,3.5,3 in 60.00 s,1,3 in 33.27 s,1
