#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Overhead Medley,Pts,Deadlift,Pts,Loading Race,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,H. BjÃ¶rnsson,ISL,68,23.84 s,9,4 in 44.52 s,11,8 reps,12,44.02 s,12,7 in 20.24 s,12,5 in 33.96 s,12
2,J. Ã…rsjÃ¶,SWE,62.5,20.00 s,12,4 in 44.24 s,12,7 reps,10.5,54.09 s,7,7 in 44.38 s,10,5 in 36.08 s,11
3,M. Felix,GBR,45.5,24.56 s,8,2 in 19.01 s,5,7 reps,10.5,48.49 s,11,3 in 10.62 s,1,5 in 38.86 s,10
4,J. Hansson,SWE,45,23.50 s,10,2 in 17.80 s,6,0 reps,0,49.08 s,10,7 in 21.96 s,11,5 in 44.48 s,8
5,D. DeVaughan,USA,41,23.42 s,11,3 in 31.86 s,10,3 reps,7,54.90 s,6,4 in 22.99 s,3,4 in 41.10 s,4
6,D. Ostlund,USA,38,33.46 s,4,2 in 14.82 s,8,3 reps,7,59.52 s,4,5 in 31.66 s,6,5 in 40.70 s,9
7,M. Forsmark,SWE,34,38.69 s,3,2 in 15.85 s,7,6 reps,9,52.85 s,8,4 in 38.01 s,2,4 in 30.08 s,5
8,M. Boudreault,CAN,32,26.17 s,5,2 in 21.90 s,4,0 reps,0,52.45 s,9,6 in 29.23 s,8,4 in 24.31 s,6
9,S. PÃ©tursson,ISL,31,25.72 s,7,2 in 22.46 s,3,2 reps,5,59.00 s,5,6 in 18.43 s,9,3 in 26.90 s,2
10,A. Bishop,GBR,29,25.91 s,6,2 in 44.91 s,2,3 reps,7,16.68 m,2,5 in 55.87 s,5,5 in 52.07 s,7
11,D. Kohlruss,GER,20,20.7 m,1,3 in 48.69 s,9,0 reps,0,19.7 m,3,4 in 12.90 s,4,3 in 26.59 s,3
12,A. MourujÃ¤rvi,FIN,16,40.28 s,2,2 in 44.81 s,1,1 rep,4,15 m,1,5 in 27.67 s,7,2 in 49.16 s,1
