#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Truck Pull,Pts,Wheelbarrow Carry,Pts,Cross Carry,Pts,Deadlift,Pts,Log Lift,Pts,Stone Over Bar,Pts
1,H. BjÃ¶rnsson,ISL,75,15.22 s,11,38.03 s,11,17.42 s,12,40 m,12,400 kg,12,150 kg,10,2 reps,7
2,M. Felix,GBR,67.5,16.32 s,10,39.39 s,10,18.45 s,10,27.7 m,10,380 kg,11,140 kg,5.5,4 reps,11
3,M. Licis,LAT,54.5,55.21 s,5,37.84 s,12,19.23 s,9,24.4 m,8,320 kg,3,140 kg,5.5,5 reps,12
4,R. Kobylarz,POL,53.5,14.03 s,12,41.46 s,6,21.50 s,8,15.28 m,5,360 kg,10,140 kg,5.5,2 reps,7
5,D. DeVaughan,USA,47.5,19.01 s,8,40.65 s,7,21.79 s,7,12.8 m,4,340 kg,7,150 kg,10,1 rep,4.5
6,D. Kohlruss,GER,43.5,21.85 m,4,39.68 s,9,17.55 m,2,20 m,6,320 kg,3,150 kg,10,3 reps,9.5
6,G. Ã–gmundsson,ISL,43.5,26.55 s,7,40.44 s,8,23.18 s,6,28.58 m,11,300 kg,1,120 kg,1,3 reps,9.5
8,J. Posen,USA,44,18.51 s,9,44.40 s,4,18.03 s,11,10.75 m,3,340 kg,7,140 kg,5.5,1 rep,4.5
9,A. Gunnarsson,ISL,41,14.9 m,3,43.50 s,5,17.8 m,4,22.3 m,7,320 kg,3,160 kg,12,2 reps,7
10,Ãš. PÃ©tursson,ISL,30,13.3 m,2,48.35 s,3,44.74 s,5,25 m,9,340 kg,7,130 kg,2,0 reps,2
11,R. Frampton,GBR,24.5,36.10 s,6,48.70 s,2,-,1,-,1,340 kg,7,140 kg,5.5,0 reps,2
12,S. Cummine,CAN,21.5,12.15 m,1,49.13 s,1,17.65 m,3,2.1 m,2,340 kg,7,140 kg,5.5,0 reps,2
