#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Overhead Medley,Pts,Deadlift,Pts,Carry & Drag,Pts,Atlas Stones,Pts
1,R. Kearney,USA,62,7.25 s,13,4 in 30.19 s,13,6 reps,12,12.53 s,12,5 in 24.79 s,12
2,N. Best,USA,53,7.95 s,12,2 in 10.51 s,8,8 reps,13,12.78 s,10,5 in 27.23 s,10
3,A. Derks,USA,45.5,10.06 s,5,2 in 9.65 s,9,4 reps,7.5,11.90 s,13,5 in 26.19 s,11
4,D. Daly,USA,45.5,8.48 s,9,2 in 16.86 s,5,4 reps,7.5,12.55 s,11,5 in 23.25 s,13
5,K. Nowicki,GBR,43.5,8.53 s,8,3 in 33.42 s,10,4 reps,7.5,13.15 s,9,5 in 28.49 s,9
6,N. Hadge,USA,39.5,8.44 s,10,2 in 16.13 s,6,5 reps,10.5,14.56 s,7,4 in 44.66 s,6
7,C. Sanou,CAN,35,8.22 s,11,4 in 43.46 s,12,2 reps,5,21.84 s,4,3 in 47.72 s,3
8,M. Boudreault,CAN,27,11.05 s,3,3 in 27.31 s,11,0 reps,0,13.99 s,8,4 in 44.86 s,5
9,B. Clark,USA,26.5,8.58 s,7,2 in 14.00 s,7,1 rep,3.5,28.61 s,2,4 in 43.50 s,7
10,Z. Hadge,USA,23.5,13.38 s,1,2 in 18.63 s,4,5 reps,10.5,16.76 s,6,?,2
11,C. Garrison,USA,21.5,10.09 s,4,2 in 22.10 s,3,1 rep,3.5,24.81 s,3,5 in 46.30 s,8
12,C. Gough,GBR,20.5,11.93 s,2,2 in 34.66 s,2,4 reps,7.5,18.34 s,5,4 in 56.69 s,4
13,T. Hollands,GBR,7,8.96 s,6,1 in 24.34 s,1,0 reps,0,(Withdrew),0,(Withdrew),0
