#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Overhead Medley,Pts,Hercules Hold,Pts,Atlas Stones,Pts,Train Pull,Pts,Deadlift,Pts,Farmer's Walk,Pts
1,M. Pudzianowski,POL,66,23.41 s,10,4 in 46.59 s,10,50.65 s,9,5 in 33.61 s,9,30.78 s,10,6 in 33.89 s,10,30.31 s,8
2,Å½. Savickas,LTU,46,23.90 s,9,4 in 47.43 s,9,36.03 s,3,5 in 36.00 s,7,38.53 s,4,6 in 35.34 s,9,35.53 s,5
3,V. Virastyuk,UKR,43,26.34 s,8,4 in 48.93 s,8,44.68 s,6,4 in 39.03 s,1,31.18 s,9,2 in 14.62 s,1,28.62 s,10
4,R. Bergmanis,LAT,40,31.72 s,5,4 in 52.65 s,7,47.65 s,8,4 in 32.00 s,2,38.84 s,3,5 in 27.19 s,6,29.34 s,9
4,M. Samuelsson,SWE,40,28.45 s,7,3 in 30.83 s,5,41.49 s,5,5 in 32.42 s,10,32.46 s,7,3 in 18.86 s,3,45.91 s,3
6,J. Dymek,POL,38,25.7 m,1,3 in 35.15 s,4,47.64 s,7,4 in 30.15 s,3,31.37 s,8,6 in 36.58 s,8,33.25 s,7
7,H. Girard,CAN,34,32.78 s,4,3 in 22.08 s,6,31.19 s,1,5 in 38.34 s,6,34.81 s,6,5 in 34.77 s,5,34.04 s,6
8,J. Paulin,CAN,29,37.28 s,2,2 in 16.22 s,1,59.40 s,10,5 in 34.53 s,8,40.78 s,2,4 in 30.45 s,4,57.29 s,2
9,S. Karlsen,NOR,28,29.75 s,6,3 in 43.96 s,3,33.83 s,2,5 in 46.29 s,5,69.15 s,1,6 in 39.77 s,7,42.69 s,4
10,G. Dolan,CAN,21,33.56 s,3,2 in 14.87 s,2,38.67 s,4,4 in 22.50 s,4,36.71 s,5,3 in 20.68 s,2,65.93 s,1
