Year;Comp name;#;Competitor;Country;TOT. PTS;Pts;Pts.1;Pts.2;Pts.3;Pts.4;Pts.5;Pts.6;Pts.7;Pts.8;Pts.9;Pts.10
2002;Arnold Strongman Challenge;1;M. Henry;USA;25;8.0;7.0;4.0;6.0;;;;;;;
2002;Arnold Strongman Challenge;2;S. Karlsen;NOR;23;6.0;3.0;7.0;7.0;;;;;;;
2002;Arnold Strongman Challenge;3;P. Pfister;USA;21;5.0;2.0;6.0;8.0;;;;;;;
2002;Arnold Strongman Challenge;4;M. Philippi;USA;20;7.0;5.0;5.0;3.0;;;;;;;
2002;Arnold Strongman Challenge;5;R. Bergmanis;LAT;16;2.0;4.0;8.0;2.0;;;;;;;
2002;Arnold Strongman Challenge;5;A. Bolton;GBR;16;1.0;8.0;3.0;4.0;;;;;;;
2002;Arnold Strongman Challenge;7;B. Gillingham;USA;13;4.0;6.0;2.0;1.0;;;;;;;
2002;Arnold Strongman Challenge;8;B. Schoonveld;USA;10;3.0;1.0;1.0;5.0;;;;;;;
2003;Arnold's Strength Summit;1;Å½. Savickas;LTU;28.5;8.0;7.0;5.5;8.0;;;;;;;
2003;Arnold's Strength Summit;2;S. Karlsen;NOR;26.5;6.0;5.5;8.0;7.0;;;;;;;
2003;Arnold's Strength Summit;3;R. Bergmanis;LAT;17.5;7.0;3.5;2.0;5.0;;;;;;;
2003;Arnold's Strength Summit;4;M. Pudzianowski;POL;15.5;2.5;3.5;5.5;4.0;;;;;;;
2003;Arnold's Strength Summit;5;S. Kirit;USA;14.5;4.0;2.0;5.5;3.0;;;;;;;
2003;Arnold's Strength Summit;6;P. Pfister;USA;14.0;5.0;1.0;2.0;6.0;;;;;;;
2003;Arnold's Strength Summit;6;Z. SedmÃ­k;CZE;14.0;1.0;5.5;5.5;2.0;;;;;;;
2003;Arnold's Strength Summit;8;B. Gillingham;USA;13.5;2.5;8.0;2.0;1.0;;;;;;;
2004;Arnold's Strongest Man;1;Å½. Savickas;LTU;43.0;10.0;9.0;10.0;4.0;10.0;;;;;;
2004;Arnold's Strongest Man;2;S. Karlsen;NOR;39.5;9.0;6.5;7.0;10.0;7.0;;;;;;
2004;Arnold's Strongest Man;3;R. Bergmanis;LAT;33.5;6.0;6.5;6.0;9.0;6.0;;;;;;
2004;Arnold's Strongest Man;4;M. Philippi;USA;33.0;5.0;10.0;4.0;6.0;8.0;;;;;;
2004;Arnold's Strongest Man;5;M. Pudzianowski;POL;29.5;8.0;4.5;8.0;7.0;2.0;;;;;;
2004;Arnold's Strongest Man;6;V. Virastyuk;UKR;27.0;4.0;3.0;9.0;8.0;3.0;;;;;;
2004;Arnold's Strongest Man;7;B. Schoonveld;USA;21.0;7.0;2.0;2.0;5.0;5.0;;;;;;
2004;Arnold's Strongest Man;8;A. Johansson;SWE;20.5;3.0;4.5;2.0;2.0;9.0;;;;;;
2004;Arnold's Strongest Man;9;S. Kirit;USA;14.5;1.5;1.0;5.0;3.0;4.0;;;;;;
2004;Arnold's Strongest Man;10;I. Ã�rvai;HUN;13.5;1.5;8.0;2.0;1.0;1.0;;;;;;
2005;Arnold's Strongest Man;1;Å½. Savickas;LTU;46.0;10.0;6.5;9.5;6.0;8.0;6.0;;;;;
2005;Arnold's Strongest Man;2;V. Virastyuk;UKR;41.0;9.0;4.0;8.0;7.0;9.0;4.0;;;;;
2005;Arnold's Strongest Man;3;G. Ross;GBR;39.5;6.0;10.0;2.5;9.0;7.0;5.0;;;;;
2005;Arnold's Strongest Man;4;M. Philippi;USA;35.0;3.0;9.0;5.0;2.0;6.0;10.0;;;;;
2005;Arnold's Strongest Man;5;B. Siders;USA;34.5;8.0;8.0;2.5;9.0;4.0;3.0;;;;;
