year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2002;Arnold Strongman Challenge;Apollon's Wheels;;;kg;;;;;;;;;;
2002;Arnold Strongman Challenge;Max Deadlift;;;kg;;;;;Standard bar;;;;;
2002;Arnold Strongman Challenge;Hummer Push;12.0;;s;m;3628.0;3628.0;[3628.0];;;;;;
2002;Arnold Strongman Challenge;Timber Carry;11.0;;s;;370.0;370.0;[370.0];;;;;;
2003;Arnold's Strength Summit;Apollon's Wheels;;;reps;;166.0;166.0;[166.0];;;;;;
2003;Arnold's Strength Summit;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2003;Arnold's Strength Summit;Medicine Ball Toss;;;m;;23.0;23.0;[23.0];;;;;;
2003;Arnold's Strength Summit;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2004;Arnold's Strongest Man;Apollon's Wheels;;;reps;;166.0;166.0;[166.0];;;;;;
2004;Arnold's Strongest Man;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2004;Arnold's Strongest Man;Medicine Ball Toss;;;m;reps;23.0;23.0;[23.0];;;;;;
2004;Arnold's Strongest Man;Hammer Lift;;;s;reps;;;;;;;;;
2004;Arnold's Strongest Man;Timber Carry;11.0;30.0;s;m;392.0;392.0;[392.0];;;;;;
2005;Arnold's Strongest Man;Apollon's Wheels;;;reps;;166.0;166.0;[166.0];;;;;;
2005;Arnold's Strongest Man;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2005;Arnold's Strongest Man;Medicine Ball Toss;;;m;reps;23.0;23.0;[23.0];;;;;;
2005;Arnold's Strongest Man;Dumbbell Press;;90.0;reps;;78.0;78.0;[78.0];;;;;;
2005;Arnold's Strongest Man;Hammer Lift;;;s;points;;;;;;;;;
2005;Arnold's Strongest Man;Timber Carry;11.0;;m;;392.0;392.0;[392.0];;;;;;
2006;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2006;Arnold Strongman Classic;Weight Throw;;;m;reps;25.0;25.0;[25.0];;;;;;[]
2006;Arnold Strongman Classic;Apollon's Wheels;;120.0;reps;;166.0;166.0;[166.0];;;;;;
2006;Arnold Strongman Classic;Super Yoke;11.0;;s;m;507.0;507.0;[507.0];;;;;;
2006;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2006;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2007;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2007;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2007;Arnold Strongman Classic;Apollon's Wheels;;;reps;;166.0;166.0;[166.0];;;;;;
2007;Arnold Strongman Classic;Super Yoke;11.0;;s;m;507.0;507.0;[507.0];;;;;;
2007;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2007;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2008;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2008;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2008;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2008;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2008;Arnold Strongman Classic;Super Yoke;11.0;;s;;507.0;507.0;[507.0];;;;;;
2008;Arnold Strongman Classic;Apollon's Wheels;;120.0;reps;;166.0;166.0;[166.0];;;;;;
2009;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2009;Arnold Strongman Classic;Manhood Stones;;;kg;reps;;;;;;;;;
2009;Arnold Strongman Classic;Apollon's Wheels;;120.0;reps;;166.0;166.0;[166.0];;;;;;
2009;Arnold Strongman Classic;Super Yoke;11.0;;s;;507.0;507.0;[507.0];;;;;;
