year;competition_name;competitor;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2002;Arnold Strongman Challenge;M. Henry;3.0;401.0;20.59;10.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;S. Karlsen;0.0;352.0;17.62;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;P. Pfister;3.0;324.0;18.0;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;M. Philippi;1.0;374.0;18.53;20.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;R. Bergmanis;1.0;370.0;17.07;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;A. Bolton;0.0;401.0;23.47;19.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;B. Gillingham;3.0;383.0;25.6;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Arnold Strongman Challenge;B. Schoonveld;3.0;302.0;10.82;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;Ž. Savickas;4.0;401.0;;7.96;4.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;S. Karlsen;2.0;396.0;;12.75;4.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;R. Bergmanis;3.0;391.0;;3.56;4.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;M. Pudzianowski;0.0;391.0;;1.8;4.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;S. Kirit;0.0;346.0;;1.63;4.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;P. Pfister;2.0;336.0;;7.19;4.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;Z. Sedmík;0.0;396.0;;0.41;4.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;B. Gillingham;0.0;443.0;;0.0;4.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;Ž. Savickas;5.0;415.0;;8.62;5.18;20.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;S. Karlsen;4.0;385.0;;9.02;4.72;13.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;R. Bergmanis;2.0;385.0;;6.96;4.72;16.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;M. Philippi;2.0;422.0;;9.47;4.57;19.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
