#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Frame Carry,Pts,Log Lift,Pts,Car Walk,Pts,Atlas Stones,Pts
1,L. Shahlaei,GBR,41,420 kg,7.5,10.10 s,10,3 reps,5.5,11.05 s,10,5 in 30.80 s,8
2,H. BjÃ¶rnsson,ISL,38.5,440 kg,10,11.17 s,7,5 reps,8.5,18.44 s,3,5 in 18.16 s,10
3,J. Ã…rsjÃ¶,SWE,38.5,400 kg,4,11.05 s,9,5 reps,8.5,13.12 s,8,5 in 28.13 s,9
4,M. Kieliszkowski,POL,31,(No lift),0,12.41 s,5,8 reps,10,11.56 s,9,5 in 32.10 s,7
5,T. Hollands,GBR,29,420 kg,7.5,11.51 s,6,3 reps,5.5,14.22 s,7,3 in 22.34 s,3
6,D. Savatinov,BUL,26,400 kg,4,14.38 s,4,4 reps,7,16.11 s,5,5 in 42.17 s,6
7,M. Felix,GBR,20.5,420 kg,7.5,14.56 s,3,0 reps,0,15.78 s,6,4 in 22.45 s,4
8,A. Bishop,GBR,18,400 kg,4,18.48 s,1,1 rep,4,18.12 s,4,5 in 45.73 s,5
9,M. Lalas,LTU,15.5,420 kg,7.5,11.08 s,8,(Withdrew),0,(Withdrew),0,(Withdrew),0
10,S. PÃ©tursson,ISL,2,(No lift),0,16.40 s,2,(Withdrew),0,(Withdrew),0,(Withdrew),0
