#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Deadlift Ladder,Pts,Carry & Drag,Pts,Power Stairs,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,52,185 kg,10,4 in 41.92 s,10,26.26 s,12,30.25 s,8,5 in 20.44 s,12
2,L. Stoltman,GBR,48,218 kg,12,4 in 55.21 s,8,28.40 s,8,30.10 s,9,5 in 20.69 s,11
3,K. Janashia,GEO,38.5,170 kg,6.5,4 in 35.04 s,12,35.28 s,3,31.05 s,7,5 in 24.02 s,10
4,P. Kordiyaka,UKR,37,185 kg,10,3 in 48.76 s,1,28.13 s,9,28.09 s,11,5 in 25.31 s,6
5,S. Flowers,GBR,36.5,170 kg,6.5,4 in 61.03 s,7,27.45 s,10,29.27 s,10,4 in 17.06 s,3
6,A. Å maukstelis,LAT,33,(No lift),0,3 in 29.23 s,5,29.03 s,7,27.20 s,12,5 in 24.34 s,9
7,E. IngÃ³lfsson Melsted,ISL,29,185 kg,10,3 in ~32.2 s,4,33.51 s,4,48.35 s,3,5 in 25.02 s,8
8,M. Lalas,LTU,28.5,170 kg,6.5,4 in ~48.2 s,9,30.11 s,5,32.67 s,6,4 in 17.98 s,2
9,K. de Ruiter,NED,23,(No lift),0,3 in ~40.5 s,2,26.50 s,11,35.56 s,5,5 in 30.60 s,5
10,P. O'Dwyer,IRL,20,(No lift),0,3 in ~28.7 s,6,29.54 s,6,40.16 s,4,5 in 31.23 s,4
11,G. Bilton,GBR,19.5,170 kg,6.5,3 in ~38.4 s,3,42.22 s,1,51.81 s,2,5 in 25.28 s,7
12,R. Heinla,EST,13,(No lift),0,4 in 39.49 s,11,35.87 s,2,(Withdrew),0,(Withdrew),0
