#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Log Lift,Pts,Tire Flip,Pts,Deadlift,Pts,Front Hold,Pts,Loading Race,Pts
1,M. Wildauer,AUT,52,37.14 s,9,4 reps,5,34.00 s,10,10 reps,10,57.95 s,8,5 in 37.37 s,10
2,V. Blekaitis,LTU,49,33.08 s,10,8 reps,10,43.04 s,4,7 reps,8,69.74 s,10,5 in 46.41 s,7
3,R. Heinla,EST,44,40.93 s,4,7 reps,9,38.68 s,7,9 reps,9,57.85 s,7,5 in 39.04 s,8
4,A. KazeÄ¼Å†iks,LAT,34.5,38.19 s,7,5 reps,7,35.59 s,9,6 reps,7,40.56 s,2,4 implements,2.5
5,T. Lotta,FIN,33,37.75 s,8,4 reps,5,41.99 s,6,0 reps,0,52.13 s,5,5 in 38.25 s,9
6,J. JÃ¤rvi,FIN,32.5,41.06 s,3,6 reps,8,37.08 s,8,1 rep,3.5,51.50 s,4,5 in 48.26 s,6
7,R. Frampton,GBR,26,40.34 s,5,4 reps,5,3 flips,1,5 reps,6,58.12 s,9,(Withdrew),0
8,E. Aune,NOR,24.5,38.35 s,6,3 reps,3,47.84 s,2,1 rep,3.5,56.03 s,6,5 in 81.63 s,4
9,M. Leitis,LAT,16,49.78 s,1,1 rep,2,42.18 s,5,0 reps,0,49.09 s,3,5 in 71.90 s,5
10,J. KirselÃ¤,FIN,13.5,49.27 s,2,0 reps,0,47.05 s,3,4 reps,5,40.16 s,1,4 implements,2.5
