#,Competitor,Country,TOT. PTS,Deadlift,Pts,Farmer's Walk,Pts,Keg Toss,Pts,Safe Lift,Pts,Loading Race,Pts,Atlas Stones,Pts
1,J. Ã…rsjÃ¶,SWE,62.5,6 reps,7.5,31.60 s,10,7 in 21.76 s,12,11 reps,12,3 in 24.32 s,11,4 in 31.61 s,10
2,M. Forsmark,SWE,60,8 reps,10.5,46.31 s,5,6 in 28.42 s,11,8 reps,9.5,3 in 23.84 s,12,5 in 37.71 s,12
3,M. Felix,GBR,51,12 reps,12,25.47 s,12,4 in 15.65 s,5,1 rep,5,3 in 29.81 s,6,4 in 25.15 s,11
4,T. Hollands,GBR,44.5,6 reps,7.5,25.56 s,11,6 in 38.08 s,10,0 reps,0,3 in 27.04 s,7,4 in 33.24 s,9
5,J. Paquet,CAN,44,7 reps,9,36.39 s,8,6 in 41.35 s,9,0 reps,0,3 in 24.39 s,10,4 in 33.66 s,8
6,J. Kvick,SWE,42.5,5 reps,5.5,26.3 m,3,5 in 25.41 s,7,9 reps,11,3 in 25.33 s,9,4 in 37.24 s,7
7,B. MagnÃºsson,ISL,38.5,8 reps,10.5,38.09 s,7,4 in 48.95 s,4,4 reps,8,3 in 33.98 s,5,3 in 43.71 s,4
8,L. Herrick,USA,37,5 reps,5.5,30.24 m,4,6 in 58.03 s,8,8 reps,9.5,3 in 37.28 s,4,3 in 40.50 s,6
9,J. Liljeblad,SWE,34.5,,0,32.72 s,9,4 in 13.80 s,6,3 reps,6.5,3 in 26.76 s,8,3 in 42.83 s,5
10,W. Baggott,GBR,20.5,4 reps,4,22.21 m,2,3 in 20.05 s,2,3 reps,6.5,3 in 45.59 s,3,2 in 43.19 s,3
11,A. MourujÃ¤rvi,FIN,16,1 rep,3,45.84 s,6,4 kegs,3,0 reps,0,3 in 55.95 s,2,1 in 23.84 s,2
12,Å½. Savickas,LTU,0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
