#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Super Yoke,Pts,Dumbbell Press,Pts,Frame Carry,Pts,Atlas Stones,Pts
1,L. Shahlaei,GBR,48,400 kg,11,17.38 s,12,4 reps,8,14.08 m,5,5 in 23.13 s,12
2,T. Mitchell,USA,41,380 kg,6.5,22.80 s,9,7 reps,10.5,7.62 m,4,5 in 25.56 s,11
3,K. Faires,USA,40,380 kg,6.5,24.14 s,8,2 reps,4.5,16.45 s,12,5 in 27.40 s,9
4,B. Benzel,USA,39,380 kg,6.5,29.12 s,5,7 reps,10.5,20.36 m,7,5 in 25.57 s,10
5,M. Felix,GBR,37,400 kg,11,24.76 s,7,0 reps,0,19.50 s,11,5 in 28.46 s,8
6,S. Remick,USA,36,380 kg,6.5,20.75 s,10,2 reps,4.5,55.84 s,8,5 in 37.13 s,7
7,R. Kearney,USA,34.5,400 kg,11,19.51 s,11,7 reps,10.5,5.97 m,2,0 in 60.00 s,0
8,E. Singleton,USA,34,380 kg,6.5,26.87 s,6,3 reps,6.5,38.94 s,10,4 in 25.34 s,5
9,N. English,CAN,29,380 kg,6.5,13.84 m,1,3 reps,6.5,43.41 s,9,5 in 42.56 s,6
10,J. Reynolds,USA,21.5,340 kg,2,30.11 s,4,7 reps,10.5,4.75 m,1,4 in 38.88 s,4
11,N. Bielawski,USA,14,340 kg,2,41.45 s,3,0 reps,0,17.43 m,6,3 in 34.67 s,3
12,K. Nowicki,GBR,7,340 kg,2,51.03 s,2,0 reps,0,6.64 m,3,0 in 60.00 s,0
