#,Competitor,Country,TOT. PTS,Dumbbell Medley,Pts,Hercules Hold,Pts,Farmer's Walk,Pts,Deadlift,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,54,5 in 38.38 s,12,58.11 s,8,63.3 m,12,7 reps,12,5 in 25.60 s,10
2,M. Hooper,CAN,42,4 in 31.46 s,10,64.65 s,10,29.6 m,4,6 reps,11,5 in 35.58 s,7
3,E. Singleton,USA,41.5,2 in 13.13 s,4,64.04 s,9,55.5 m,9,4 reps,8.5,5 in 25.59 s,11
4,M. Boudreault,CAN,38.5,4 in 69.81 s,6,50.21 s,4,60 m,11,2 reps,5.5,5 in 24.03 s,12
5,P. Smith,GBR,36,4 in 43.36 s,9,67.10 s,11,58 m,10,1 rep,3,4 in 31.78 s,3
6,E. Williams,AUS,34,2 in 18.10 s,3,72.01 s,12,53.25 m,8,1 rep,3,5 in 34.31 s,8
7,S. Remick,USA,32.5,4 in 52.70 s,7,52.16 s,5,44.15 m,6,4 reps,8.5,5 in 51.24 s,6
8,G. Bilton,GBR,30.5,4 in 46.27 s,8,52.34 s,6,15 m,2,2 reps,5.5,5 in 27.23 s,9
9,R. Kearney,USA,28,5 in 42.21 s,11,35.95 s,2,20.5 m,3,3 reps,7,4 in 23.21 s,5
10,M. Felix,GBR,28,1 in 8.06 s,2,53.59 s,7,52.35 m,7,5 reps,10,3 in 24.56 s,2
11,K. McClelland,USA,20,3 in 59.30 s,5,47.53 s,3,41.4 m,5,1 rep,3,4 in 23.94 s,4
12,A. Black,GBR,1,1 in 15.08 s,1,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
