#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Log Lift,Pts,Tire Flip,Pts,Deadlift,Pts,Atlas Stones,Pts
1,V. Lalas,LTU,45,9.80 s,10,8 reps,9,42.48 s,6,17 reps,10,5 in 19.73 s,10
2,M. Kieliszkowski,POL,41,10.10 s,8,9 reps,10,26.72 s,10,6 reps,4,5 in 22.59 s,9
3,K. Janashia,GEO,33.5,10.94 s,7,6 reps,6.5,34.23 s,8,7 reps,5,5 in 27.55 s,7
4,M. Wildauer,AUT,33,11.71 s,5,3 reps,4,35.69 s,7,16 reps,9,5 in 27.15 s,8
5,R. Heinla,EST,27.5,14.31 s,3,6 reps,6.5,31.44 s,9,2 reps,3,5 in 34.47 s,6
6,R. Gordzielik,GER,26.5,11.65 s,6,4 reps,5,55.32 s,5,10 reps,7.5,3 in 16.93 s,3
7,T. Hollands,GBR,25.5,9.90 s,9,0 reps,0,58.86 s,4,10 reps,7.5,4 in 17.29 s,5
8,M. Leicht,DEN,16,13.14 s,4,7 reps,8,4 flips,2,1 rep,2,(Withdrew),0
9,E. Thomsen,DEN,15,48.90 s,2,0 reps,0,75.00 s,3,8 reps,6,4 in 37.58 s,4
10,M. Lund,DEN,1,5.71 m,1,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
