#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Max Deadlift,Pts,Log Medley,Pts,Flag Hoist,Pts,Atlas Stones,Pts
1,M. Licis,USA,50,38.3 m,9,460 kg,9,3 in 21.63 s,10,5 in 28.90 s,11,4 in 31.56 s,11
2,M. Kieliszkowski,POL,49.5,21.69 s,12,400 kg,1.5,4 in 38.50 s,12,5 in 24.82 s,12,4 in 31.18 s,12
3,K. Janashia,GEO,44.5,28.38 s,10,480 kg,10.5,3 in 27.15 s,8,4 in 45.17 s,6,4 in 69.47 s,10
4,V. Lalas,LTU,43.5,32.95 m,8,480 kg,10.5,3 in 27.01 s,9,4 in 30.24 s,7,3 in 28.50 s,9
5,R. Heinla,EST,41,7.7 m,2,505 kg,12,3 in 19.86 s,11,4 in 25.03 s,9,3 in 32.55 s,7
6,L. Shahlaei,GBR,35,24.17 s,11,420 kg,4,3 in 28.62 s,7,4 in 26.71 s,8,3 in 35.63 s,5
7,P. O'Dwyer,IRL,23,9.1 m,4,420 kg,4,2 in 14.08 s,2,5 in 35.75 s,10,2 in 18.42 s,3
8,M. Shivlyakov,RUS,22,8.65 m,3,440 kg,7,3 in 36.81 s,6,3 in 14.14 s,5,2 in 62.79 s,1
9,Z. Hadge,USA,22,6.6 m,1,440 kg,7,2 in 12.30 s,3,3 in 42.05 s,3,3 in 30.11 s,8
10,R. Gordzielik,GER,21,26.8 m,7,420 kg,4,2 in 9.11 s,4,3 in 17.97 s,4,2 in 19.37 s,2
11,P. Smith,GBR,19.5,22.7 m,5,400 kg,1.5,3 in 38.91 s,5,2 in 11.12 s,2,3 in 33.81 s,6
12,N. Hadge,USA,19,25.87 m,6,440 kg,7,2 in 24.03 s,1,2 in 35.45 s,1,3 in 42.61 s,4
