Event,Info
0,Contest Notes:   - Andrus Murumets replaced Steve Kirit (USA) after three events. ,
1,- Brian Turner replaced Hugo Girard (CAN) after six events. ,
2,"- All events are in a head-to-head format, with a maximum of six points for each event. Deadlift","75 second time limit / 7 lifts, 265 to 370 kg (bonus points start on 3rd lift) "
3, Super Yoke,410 kg / 30 meters / 60 second time limit / Bonus points start at 22 metres 
4, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg (one bonus point per stone lifted) 
5, Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg (one bonus point per finger flipped) 
6, Safe Lift,120 kg / 75 second time limit / One bonus point for every two reps 
7, Conan's Wheel,"300 kg / 75 second time limit / Bonus points for every half-lap, starting after one lap "
8, Wrestling,"3 bouts (2 pts per bout win, 1 point for staying over 10 seconds in a lost bout) "
9, Farmer's Walk,160 kg / 35 meters / 60 second time limit / Bonus points start at 27 metres 
10, Carry & Drag,"35 meters / 60 second time limit / 100 kg anchor carry (15 m) into 300 kg chain drag (20 m), bonus points start at 27 metres "
11, Squat Lift,"75 second time limit / 7 lifts, 265 to 370 kg (bonus points start on 3rd lift) "
12, Truck Pull,11500 kg / 35 meters / 60 second time limit / Bonus points start at 27 metres
