,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Keg Toss,Pts,Max Log Lift,Pts,Frame Carry,Pts,Deadlift,Pts,Atlas Stones,Pts
0,1,Ž. Savickas,LTU,51.5,2 in 45.58 s,5,8 in 21.19 s,9,210 kg,10,26.54 s,10,11 reps,9.5,5 in 29.64 s,8
1,2,B. Shaw,USA,51.5,3 in 68.89 s,8,8 in 20.75 s,10,177.5 kg,7,40.05 s,7,11 reps,9.5,5 in 27.11 s,10
2,3,M. Koklyaev,RUS,46,3 in 68.34 s,9,8 in 27.61 s,7,202.5 kg,9,40.84 s,6,10 reps,8,5 in 39.83 s,7
3,4,S. Pétursson,ISL,33,2 in 50.13 s,1,8 in 36.53 s,6,170 kg,6,33.67 s,8,5 reps,3,5 in 28.23 s,9
4,5,T. Ortmayer,USA,30.5,3 in 58.72 s,10,8 in 22.16 s,8,155 kg,3,6.4 m,2,8 reps,5.5,3 in 20.29 s,2
5,6,N. Best,USA,27,2 in 47.51 s,3,4 in 23.14 s,2,155 kg,3,33.32 s,9,9 reps,7,4 in 36.01 s,3
6,7,E. Katona,SRB,25,3 in 72.57 s,7,8 in 41.69 s,5,155 kg,3,35.8 m,5,7 reps,4,3 in 27.12 s,1
7,8,T. Hollands,ENG,24.5,2 in 45.73 s,4,6 in 30.63 s,3,155 kg,3,26.1 m,4,8 reps,5.5,5 in 53.23 s,5
8,9,D. Poundstone,USA,22,2 in 48.82 s,2,7 in 33.73 s,4,185 kg,8,8.1 m,3,1 rep,1,4 in 30.95 s,4
9,10,J. Bergmann,USA,19,2 in 35.09 s,6,4 in 44.28 s,1,155 kg,3,2.2 m,1,4 reps,2,5 in 41.30 s,6
