,#,Competitor,Country,TOT. PTS,Tire Flip,Pts,Squat Lift,Pts,Viking Press,Pts,Plane Pull,Pts,Max Deadlift,Pts,Atlas Stones,Pts
0,1,E. Hall,GBR,51,35.12 s,6,15 reps,10,15 reps,10,42.92 s,8,472.5 kg,10,5 in 58.74 s,7
1,2,H. Björnsson,ISL,50,28.83 s,9,12 reps,4.5,14 reps,9,41.10 s,9,460 kg,8.5,5 in 28.99 s,10
2,3,B. Shaw,USA,48,27.28 s,10,13 reps,7.5,12 reps,8,47.60 s,6,460 kg,8.5,5 in 40.48 s,8
3,4,M. Licis,USA,36.5,39.93 s,4,13 reps,7.5,8 reps,6,49.30 s,4,440 kg,6,5 in 33.24 s,9
4,5,J. Caron,CAN,35.5,31.56 s,8,13 reps,7.5,8 reps,6,29.81 m,2,440 kg,6,4 in 29.41 s,6
5,6,M. Kieliszkowski,POL,29,34.52 s,7,3 reps,2,7 reps,3.5,40.07 s,10,380 kg,1.5,4 in 33.01 s,5
6,7,L. Shahlaei,GBR,25.5,39.87 s,5,12 reps,4.5,7 reps,3.5,44.14 s,7,400 kg,3.5,3 in 45.66 s,2
7,8,K. Janashia,GEO,23,5 flips,3,2 reps,1,8 reps,6,50.25 s,3,440 kg,6,4 in 35.36 s,4
8,9,Ž. Savickas,LTU,21.5,3 flips,1.5,13 reps,7.5,2 reps,1,47.73 s,5,400 kg,3.5,3 in 19.76 s,3
9,10,N. Best,USA,10,3 flips,1.5,6 reps,3,3 reps,2,21.38 m,1,380 kg,1.5,2 in 26.68 s,1
