,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Overhead Medley,Pts,Squat Lift,Pts,Deadlift Hold,Pts,Atlas Stones,Pts
0,1,M. Licis,USA,46,4 in 43.81 s,8,4 in 27.94 s,9,9 reps,10,41.25 s,9,5 in 27.41 s,10
1,2,M. Kieliszkowski,POL,38,4 in 42.11 s,9,4 in 23.86 s,10,7 reps,7,35.72 s,5,5 in 38.45 s,7
2,3,H. Björnsson,ISL,37,4 in 48.17 s,4,4 in 31.16 s,7,7 reps,7,45.29 s,10,5 in 28.95 s,9
3,4,J. Caron,CAN,31,4 in 46.92 s,7,4 in 48.29 s,5,7 reps,7,38.57 s,8,5 in 55.38 s,4
4,5,T. Stoltman,GBR,30,4 in 39.66 s,10,4 in 46.20 s,6,5 reps,3,28.76 s,3,5 in 35.47 s,8
5,6,B. Shaw,USA,30,4 in 48.47 s,3,4 in 30.48 s,8,8 reps,9,30.16 s,4,5 in 39.82 s,6
6,7,L. Stoltman,GBR,20,4 in 47.42 s,5,4 in 58.16 s,3,5 reps,3,35.74 s,6,3 in 16.07 s,3
7,8,T. Mitchell,USA,18,4 in 52.96 s,2,4 in 54.55 s,4,6 reps,5,23.28 s,2,5 in 52.47 s,5
8,9,A. Bishop,GBR,15,4 in 55.39 s,1,4 in 36.19 s,2,5 reps,3,36.69 s,7,3 in 19.42 s,2
9,10,K. Janashia,GEO,7,4 in 46.97 s,6,1 in 3.91 s,1,Withdrew,0,Withdrew,0,Withdrew,0
