,#,Competitor,Country,TOT. PTS,Giant's Medley,Pts,Titan's Turntable,Pts,Keg Toss,Pts,Max Log Lift,Pts,Deadlift,Pts,Atlas Stones,Pts
0,1,T. Stoltman,GBR,45.5,18.36 s,10,46.89 s,10,7.5 m,8.5,185 kg,2.5,8 reps,4.5,5 in 20.21 s,10
1,2,B. Shaw,USA,42.5,20.53 s,8,56.73 s,5,7.75 m,10,195 kg,5,9 reps,6.5,5 in 31.45 s,8
2,3,M. Boudreault,CAN,36.5,31.43 s,3,55.16 s,7,7.5 m,8.5,205 kg,8,3 reps,1,5 in 28.63 s,9
3,4,T. Mitchell,USA,35,45.61 s,2,52.34 s,9,6 m,1,205 kg,8,10 reps,9,5 in 37.26 s,6
4,5,J. Caron,CAN,34,21.31 s,6,57.84 s,3,6.75 m,4,195 kg,5,10 reps,9,5 in 37.17 s,7
5,6,K. Janashia,GEO,32.5,20.31 s,9,60.15 s,2,7.26 m,7,195 kg,5,8 reps,4.5,4 in 20.81 s,5
6,7,L. Stoltman,GBR,32,20.72 s,7,55.94 s,6,6.75 m,4,215 kg,10,6 reps,2,4 in 33.50 s,3
7,8,A. Bishop,GBR,27,22.39 s,5,57.78 s,4,6.75 m,4,170 kg,1,10 reps,9,4 in 30.62 s,4
8,9,B. Thompson,USA,23.5,25.06 s,4,62.31 s,1,6.75 m,4,205 kg,8,9 reps,6.5,(Withdrew),0
9,10,E. Ingólfsson Melsted,ISL,20.5,10 m,1,52.83 s,8,6.75 m,4,185 kg,2.5,7 reps,3,4 in 33.65 s,2
