#,Competitor,Country,TOT. PTS,Fingal's Fingers,Pts,Hercules Hold,Pts,Fridge Carry,Pts,Log Lift,Pts,Squat Lift,Pts,Ding Carry,Pts,Atlas Stones,Pts
1,M. Pudzianowski,POL,60,5 in 51.64 s,3,48.80 s,7,15.29 s,10,13 reps,10,7 in 27.53 s,10,90 m,10,5 in 27.49 s,10
2,J. Marunde,USA,46,5 in 34.27 s,10,44.88 s,5,20.73 s,7,12 reps,9,5 in 22.49 s,5,62.9 m,4,5 in 46.33 s,6
3,D. Filiou,CAN,42,5 in 38.24 s,9,36.17 s,1,16.28 s,9,10 reps,8,7 in 30.77 s,9,21 m,1,5 in 47.21 s,5
4,J. Dymek,POL,37.5,5 in 38.28 s,8,41.18 s,2,19.59 s,8,9 reps,6.5,6 in 29.99 s,6,68.5 m,6,0 in 75.00 s,1
5,J. Virtanen,FIN,37,5 in 45.24 s,4,44.40 s,4,20.90 s,6,8 reps,4,6 in 27.93 s,7,77.5 m,9,4 in 29.61 s,3
6,T. Mitt,EST,34,5 in 59.06 s,2,71.12 s,10,48.09 s,2,7 reps,2,3 in 14.04 s,1,77 m,8,5 in 30.44 s,9
7,R. Ber,AUT,33.5,4 in 41.30 s,1,54.15 s,8,21.15 s,5,9 reps,6.5,7 in 38.08 s,8,48.6 m,3,4 in 42.45 s,2
8,D. Pope,USA,33,5 in 39.43 s,7,56.01 s,9,30.35 s,3,8 reps,4,5 in 26.40 s,4,45.2 m,2,4 in 28.25 s,4
9,D. Ostlund,USA,32,5 in 42.77 s,6,45.11 s,6,25.09 s,4,5 reps,1,4 in 22.94 s,2,65.5 m,5,5 in 36.46 s,8
10,E. Nigmatullin,RUS,30,5 in 44.15 s,5,41.97 s,3,13.2 m,1,8 reps,4,4 in 21.64 s,3,69 m,7,5 in 41.12 s,7
