,#,Competitor,Country,TOT. PTS,Frame Carry,Pts,Super Yoke,Pts,Truck Pull,Pts,Max Deadlift,Pts,Log Lift,Pts,Atlas Stones,Pts
0,1,B. Shaw,USA,50,27.13 s,7,14.28 s,9,62.81 s,9,435 kg,8.5,5 reps,6.5,5 in 19.67 s,10
1,2,Ž. Savickas,LTU,48,41.28 s,6,16.33 s,6,71.63 s,8,440 kg,10,10 reps,10,5 in 26.20 s,8
2,3,T. Hollands,ENG,42,28.5 m,5,16.13 s,8,28.52 m,7,435 kg,8.5,5 reps,6.5,5 in 26.77 s,7
3,4,L. Shahlaei,ENG,36.5,18.72 s,9,16.29 s,7,27.8 m,6,415 kg,6.5,4 reps,5,4 in 49.19 s,3
4,5,D. Poundstone,USA,32,16.6 m,3,19.16 s,5,27.67 m,5,415 kg,6.5,7 reps,8.5,4 in 17.32 s,4
5,6,H. Björnsson,ISL,29.5,3.5 m,1,23.50 s,3,57.94 s,10,370 kg,2.5,3 reps,4,5 in 24.35 s,9
6,6,V. Lalas,LTU,29.5,26.37 m,4,20.37 s,4,17.13 m,3,400 kg,5,7 reps,8.5,5 in 38.99 s,5
7,8,M. Jenkins,USA,26.5,18.10 s,10,14.26 s,10,22 m,4,370 kg,2.5,Withdrew,0,Withdrew,0
8,9,S. Pétursson,ISL,22.5,23.25 s,8,27.06 s,2,12.22 m,1,370 kg,2.5,2 reps,3,5 in 27.46 s,6
9,10,E. Katona,SRB,7.5,13.15 m,2,0.26 m,1,13 m,2,370 kg,2.5,Withdrew,0,Withdrew,0
