,#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Max Log Lift,Pts,Bus Pull,Pts,Deadlift,Pts,Natural Stones,Pts,Power Stairs,Pts
0,1,Ž. Savickas,LTU,49,37.89 s,4,220 kg,10,55.35 s,7,8 reps,10,5 in 32.13 s,9,42.83 s,9
1,2,V. Lalas,LTU,44.5,30.05 s,9,200 kg,7,52.56 s,8,7 reps,8.5,5 in 33.29 s,8,11 stairs,4
2,3,H. Björnsson,ISL,42.5,33.55 s,5,185 kg,4.5,44.71 s,9,4 reps,4,5 in 25.52 s,10,36.82 s,10
3,4,B. Shaw,USA,40,28.40 s,10,185 kg,4.5,65.12 s,6,6 reps,6.5,5 in 38.56 s,6,45.61 s,7
4,5,M. Jenkins,USA,38.5,31.49 s,8,210 kg,8.5,70.41 s,5,3 reps,2,5 in 37.40 s,7,43.77 s,8
5,6,K. Radzikowski,POL,32.5,31.85 s,7,210 kg,8.5,4.55 m,2,5 reps,5,5 in 49.27 s,5,13 stairs,5
6,7,T. Hollands,ENG,28.5,32.27 s,6,170 kg,2,42.97 s,10,7 reps,8.5,4 in 41.77 s,2,Withdrew,0
7,8,J. Caron,CAN,21.5,27.3 m,2,No lift,0,9.9 m,3,6 reps,6.5,5 in 53.44 s,4,74.84 s,6
8,9,J. Årsjö,SWE,19.5,33.9 m,3,185 kg,4.5,19.9 m,4,3 reps,2,5 in 59.19 s,3,10 stairs,3
9,10,E. Katona,SRB,9.5,25.75 m,1,185 kg,4.5,1.6 m,1,3 reps,2,1 in 7.58 s,1,Withdrew,0
