,#,Competitor,Country,TOT. PTS,Giant's Medley,Pts,Deadlift,Pts,Flintstone Barbell,Pts,Bus Pull,Pts,Power Stairs,Pts,Atlas Stones,Pts
0,1,T. Stoltman,GBR,53.5,24.75 s,9,13 reps,8.5,240 kg,9,44.50 s,8,9 in 41.04 s,9,5 in 25.76 s,10
1,2,M. Licis,USA,43,30.60 s,6,12 reps,6,235 kg,8,42.18 s,9,9 in 44.56 s,8,5 in 45.74 s,6
2,3,O. Novikov,UKR,43,24.84 s,8,15 reps,10,246 kg,10,41.51 s,10,6 in 34.20 s,4,4 in 36.70 s,1
3,4,B. Shaw,USA,37.5,30.78 s,5,12 reps,6,212 kg,5.5,44.69 s,7,8 in 69.03 s,7,5 in 39.29 s,7
4,5,M. Boudreault,CAN,34.5,34.11 s,2,10 reps,4,212 kg,5.5,47.20 s,4,9 in 39.07 s,10,5 in 28.04 s,9
5,6,T. Mitchell,USA,34,32.54 s,4,13 reps,8.5,212 kg,5.5,45.72 s,6,6 in 70.22 s,2,5 in 33.06 s,8
6,7,L. Stoltman,GBR,30.5,28.72 s,7,9 reps,3,212 kg,5.5,47.00 s,5,7 in 59.47 s,5,4 in 25.78 s,5
7,8,M. Hooper,CAN,30,21.96 s,10,12 reps,6,200 kg,3,49.24 s,3,7 in 32.36 s,6,4 in 33.78 s,2
8,9,E. Ingólfsson Melsted,ISL,13,37.61 s,1,8 reps,1.5,190 kg,1.5,51.32 s,2,6 in 35.78 s,3,4 in 28.87 s,4
9,10,G. Rhéaume,CAN,11,33.87 s,3,8 reps,1.5,190 kg,1.5,53.22 s,1,5 in 35.78 s,1,4 in 33.55 s,3
