#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Arm Over Arm Pull,Pts,Max Deadlift,Pts,Overhead Medley,Pts,Super Yoke,Pts,Atlas Stones,Pts
1,H. BjÃ¶rnsson,ISL,60.5,,10,,7,520 kg,11.5,4 implements,11,,11,,10
2,B. Shaw,USA,57,,9,,8,490 kg,9,4 implements,10,,9,,12
3,M. Kieliszkowski,POL,52.5,,8,,11.5,430 kg,3,4 implements,12,,10,,8
4,J. Caron,CAN,48,,7,,11.5,520 kg,11.5,2 implements,8,,4,,6
5,L. Shahlaei,GBR,42.5,,11,,2,460 kg,6.5,2 implements,4,,12,,7
6,K. Janashia,GEO,38,,2,,6,510 kg,10,2 implements,5,,6,,9
7,M. Licis,USA,34.5,,5,,10,460 kg,6.5,2 implements,3,,8,,2
8,T. Stoltman,GBR,31.5,,1,,4,460 kg,6.5,1 implement,2,,7,,11
9,T. Hollands,GBR,31,,12,,9,430 kg,3,No lift,0,,2,,5
10,Å½. Savickas,LTU,27.5,,6,,5,460 kg,6.5,2 implements,6,,1,,3
11,L. Stoltman,GBR,25,,3,,3,430 kg,3,2 implements,7,,5,,4
12,C. Sanou,BUR,18,,4,,1,400 kg,1,3 implements,9,,3,,0
