#,Competitor,Country,TOT. PTS,Log Lift,Pts,Super Yoke,Pts,Farmer's Walk,Pts,Chain Railway Carriage,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,45.5,4 reps,9.5,69.2 m,9,,9,29.11 s,9,10 in 57.04 s,9
2,M. Kieliszkowski,POL,44.5,3 reps,7.5,71.1 m,10,,10,25.34 s,10,9 stones,7
3,A. Å maukstelis,LAT,34.5,3 reps,7.5,57.3 m,7,,4,32.61 s,6,10 in 55.65 s,10
4,J. Caron,CAN,32,2 reps,6,53.3 m,6,24.8 m,7,32.70 s,5,10 in 75.00 s,8
5,K. Janashia,GEO,27,1 rep,4,60 m,8,52.92 s,8,28 m,1,9 stones,6
6,B. Thompson,USA,26.5,4 reps,9.5,49.5 m,5,,6,36.10 s,4,6 stones,2
7,M. Ezatpour,IRI,18,0 reps,0,45 m,3,,3,29.15 s,8,9 stones,4
8,E. Toots,EST,17,1 rep,4,37.8 m,1,8.6 m,2,30.50 s,7,8 stones,3
9,R. Heinla,EST,15,1 rep,4,41.5 m,2,,1,40.60 s,3,9 stones,5
10,R. Farajnejad,IRI,12,0 reps,0,48.7 m,4,21.4 m,5,47.67 s,2,6 stones,1
