year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2020;Arnold Strongman Classic;Apollon's Wheels;;;kg;reps kg;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Standard bar;;;;;
2020;Arnold Strongman Classic;Hummer Push;12.0;;s;m;3628.0;3628.0;[3628.0];;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;;370.0;370.0;[370.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Medicine Ball Toss;;;m;;23.0;23.0;[23.0];;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Medicine Ball Toss;;;m;;23.0;23.0;[23.0];;;;;;
2020;Arnold Strongman Classic;Hammer Lift;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;30.0;s;m;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Medicine Ball Toss;;;m;;23.0;23.0;[23.0];;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;78.0;78.0;[78.0];;;;;;
2020;Arnold Strongman Classic;Hammer Lift;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;m;;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Weight Throw;;;m;;25.0;25.0;[25.0];;;;;;[]
2020;Arnold Strongman Classic;Apollon's Wheels;;120.0;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;11.0;;s;m;507.0;507.0;[507.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;11.0;;s;m;507.0;507.0;[507.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Super Yoke;11.0;;s;;507.0;507.0;[507.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;120.0;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;392.0;392.0;[392.0];;;;;;
2020;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;120.0;;;166.0;166.0;[166.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;11.0;;s;;507.0;507.0;[507.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;reps;;168.0;208.0;[168.0, 208.0];;;5.0;;5.0;
2020;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;120.0;reps;;103.0;103.0;[103.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;454.0;454.0;[454.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;476.0;476.0;[476.0];;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;;reps;;110.0;110.0;[110.0];;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;116.0;116.0;[116.0];;;;;;
2020;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;120.0;120.0;[120.0];;;;;;
2020;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Bale Tote;3.0;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Cyr Dumbbell;;;reps;;124.0;124.0;[124.0];;;;;;
2020;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;500.0;500.0;[500.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2020;Arnold Strongman Classic;Bale Tote;4.0;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Cyr Dumbbell;;;reps;;124.0;124.0;[124.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2020;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Cyr Dumbbell;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Bale Tote;4.0;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;500.0;500.0;[500.0];;;;;;
2020;Arnold Strongman Classic;Bale Tote;4.0;30.0;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;30.0;s;m;563.0;563.0;[563.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2020;Arnold Strongman Classic;Bag Over Bar;4.57;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Bag Over Bar;4.57;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Stone to Shoulder;;;reps;;186.0;186.0;[186.0];;;;;;[]
2020;Arnold Strongman Classic;Timber Carry;11.0;;s;m;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2020;Arnold Strongman Classic;Apollon's Wheels;;;reps;;181.0;181.0;[181.0];;;;;;
